x_utm43n_m,y_utm43n_m,Longitude,Latitude,Organic_Carbon
595141.782362951,1257586.6763310595,75.87200164794922,11.375,2.0299999713897705
587605.8339104537,1260108.361472817,75.8030014038086,11.39799976348877,1.6200000047683716
588472.9292052793,1261990.7355312747,75.81099700927734,11.414999961853027,1.600000023841858
592399.530407439,1262444.2911148244,75.84700012207031,11.418999671936035,1.5199999809265137
592182.100620531,1262222.5001642876,75.84500122070312,11.416999816894531,2.130000114440918
590982.8023092252,1261887.236846405,75.83399963378906,11.413999557495115,1.440000057220459
585879.7475663915,1252915.73586068,75.78700256347656,11.333000183105469,0.550000011920929
587518.4428681631,1252256.6414046458,75.802001953125,11.32699966430664,0.4199999868869781
584680.923064341,1252248.9663456539,75.7760009765625,11.32699966430664,0.1000000014901161
590578.2121577224,1250827.6539993351,75.83000183105469,11.314000129699709,2.180000066757202
590577.2690504933,1251159.4333987948,75.83000183105469,11.31700038909912,4.550000190734863
590576.3259961745,1251491.1074032558,75.83000183105469,11.31999969482422,1.4199999570846558
590575.382395052,1251822.8869341987,75.83000183105469,11.322999954223633,1.059999942779541
590574.4385469472,1252154.6665309179,75.83000183105469,11.326000213623049,1.2000000476837158
590682.5660604516,1252486.7567894529,75.83100128173828,11.32900047302246,2.039999961853028
585971.1369471962,1259440.4204524406,75.78800201416016,11.392000198364258,3.430000066757202
586190.7358308787,1258888.085545385,75.79000091552734,11.38700008392334,0.9800000190734864
585972.6387715924,1258887.4925423397,75.78800201416016,11.38700008392334,0.75
585753.9427390824,1259108.050993628,75.78600311279297,11.388999938964844,0.5600000023841858
585645.4933647314,1258886.6058555283,75.78500366210938,11.38700008392334,0.3899999856948852
585646.6896702108,1258444.3061389974,75.78500366210938,11.383000373840332,1.2599999904632568
585864.4899748458,1258555.4189284695,75.78700256347656,11.383999824523926,1.1200000047683716
586191.6389560732,1258556.3076476716,75.79000091552734,11.383999824523926,1.2000000476837158
586954.683653854,1258669.0224244087,75.7969970703125,11.385000228881836,1.399999976158142
587173.9196600452,1258558.9963796535,75.79900360107422,11.383999824523926,1.840000033378601
587064.9493441213,1258226.9156652105,75.7979965209961,11.380999565124512,0.699999988079071
586737.4934110411,1258336.6460358955,75.79499816894531,11.381999969482422,0.4199999868869781
586410.3417791347,1258335.7518313597,75.79199981689453,11.381999969482422,1.559999942779541
586083.1903669297,1258334.8610067433,75.78900146484375,11.381999969482422,1.840000033378601
585537.4047983564,1258222.7539531663,75.78399658203125,11.380999565124512,0.9800000190734864
585210.5501175388,1258111.3501556697,75.78099822998047,11.380000114440918,1.0299999713897705
584665.5910532235,1257999.260839361,75.7760009765625,11.378999710083008,4.489999771118164
584666.1819850554,1257778.1115236063,75.7760009765625,11.376999855041504,1.399999976158142
585101.7962964548,1258000.4295250596,75.77999877929688,11.378999710083008,0.699999988079071
585866.2883795428,1257891.9692355301,75.78700256347656,11.378000259399414,0.9200000166893004
585866.5881655187,1257781.3415824028,75.78700256347656,11.376999855041504,0.9800000190734864
586411.2467974827,1258003.9738956834,75.79199981689453,11.378999710083008,1.559999942779541
586629.6523354885,1257894.0471345244,75.79399871826172,11.378000259399414,1.5099999904632568
584345.2010738825,1255455.0163934436,75.77300262451172,11.355999946594238,0.3600000143051147
587065.5571363956,1258005.765237368,75.7979965209961,11.378999710083008,1.4800000190734863
586740.2177497778,1257341.4172180095,75.79499816894531,11.373000144958496,1.7599999904632568
586412.754541942,1257451.0459700841,75.79199981689453,11.37399959564209,1.4500000476837158
586194.6474847576,1257450.4521070744,75.79000091552734,11.37399959564209,1.2799999713897705
585976.540524988,1257449.8597452468,75.78800201416016,11.37399959564209,0.5899999737739563
585758.1343352094,1257559.8964910524,75.78600311279297,11.375,0.8700000047683716
585649.0813209967,1257559.6015991054,75.78500366210938,11.375,0.8399999737739563
585538.8972767539,1257669.9324002403,75.78399658203125,11.37600040435791,1.649999976158142
585212.3344615311,1257447.7960626194,75.78099822998047,11.37399959564209,3.430000066757202
584994.2279374375,1257447.2104618,75.77899932861328,11.37399959564209,1.2599999904632568
584776.1215094002,1257446.6263621442,75.7770004272461,11.37399959564209,0.9800000190734864
584557.7200408832,1257556.6711014332,75.7750015258789,11.375,0.75
584449.2564959237,1257335.2311809084,75.77400207519531,11.373000144958496,0.5600000023841858
584230.8558579349,1257445.1726805726,75.77200317382812,11.37399959564209,0.3899999856948852
584229.9740792814,1257776.9490385728,75.77200317382812,11.376999855041504,1.2599999904632568
584011.0378121916,1257776.3678413378,75.7699966430664,11.376999855041504,1.1200000047683716
583465.7787029716,1257774.926949259,75.76499938964844,11.376999855041504,1.2000000476837158
583247.6752245675,1257774.3532200812,75.76300048828125,11.376999855041504,1.5099999904632568
583466.6524796302,1257443.1510963172,75.76499938964844,11.37399959564209,1.840000033378601
584011.9172983281,1257444.5916285035,75.7699966430664,11.37399959564209,0.699999988079071
583467.234778408,1257222.0023843606,75.76499938964844,11.371999740600586,1.559999942779541
583467.8169760634,1257000.8537018425,75.76499938964844,11.369999885559082,1.840000033378601
584122.3896696143,1257223.734069733,75.77100372314453,11.371999740600586,0.9800000190734864
584340.7913505461,1257113.7917618428,75.77300262451172,11.371000289916992,1.0299999713897705
584995.4137511173,1257004.9117152542,75.77899932861328,11.369999885559082,1.399999976158142
585431.334904456,1257116.7115307024,75.78299713134766,11.371000289916992,0.9800000190734864
585650.5752238301,1257006.674683274,75.78500366210938,11.369999885559082,0.9200000166893004
586195.8500504313,1257008.1522808191,75.79000091552734,11.369999885559082,1.559999942779541
586631.4660758313,1257230.4912084038,75.79399871826172,11.371999740600586,1.5099999904632568
585759.9290526424,1256896.4473427974,75.78600311279297,11.369000434875488,1.7599999904632568
585651.172546371,1256785.5250604146,75.78500366210938,11.368000030517578,1.4500000476837158
585431.930751511,1256895.5619915358,75.78299713134766,11.369000434875488,1.2799999713897705
585104.7651509095,1256894.6822678815,75.77999877929688,11.369000434875488,0.5899999737739563
584232.9122615358,1256671.0984092983,75.77200317382812,11.366999626159668,1.649999976158142
583904.9126814113,1256670.2290073182,75.76899719238281,11.366999626159668,1.309999942779541
583686.8014042656,1256669.6527552705,75.76699829101562,11.366999626159668,1.340000033378601
583468.399072596,1256779.7050487592,75.76499938964844,11.368000030517578,0.7799999713897705
583141.233617036,1256778.8456624504,75.76200103759766,11.368000030517578,0.699999988079071
582923.7016233676,1256557.1262284287,75.76000213623047,11.366000175476074,1.2000000476837158
582050.1373407246,1256665.3765321095,75.75199890136719,11.366999626159668,1.9800000190734863
582159.765428735,1256444.510802641,75.75299835205078,11.364999771118164,1.0299999713897705
582486.9336749228,1256445.3598404927,75.75599670410156,11.364999771118164,1.340000033378601
582814.9346208654,1256446.2144266376,75.75900268554688,11.364999771118164,0.5299999713897705
583142.6828505372,1256225.9217867816,75.76200103759766,11.36299991607666,1.590000033378601
583469.5629622893,1256337.4078308747,75.76499938964844,11.36400032043457,0.3899999856948852
583687.6764259248,1256337.9824390034,75.76699829101562,11.36400032043457,0.9200000166893004
583905.497668292,1256449.0802065702,75.76899719238281,11.364999771118164,0.8399999737739563
584125.0294652466,1256228.5112022902,75.77100372314453,11.36299991607666,1.1699999570846558
584451.6125718715,1256450.529375466,75.77400207519531,11.364999771118164,1.4199999570846558
584669.7257034238,1256451.1107872967,75.7760009765625,11.364999771118164,0.9800000190734864
584015.7252923662,1256007.0712376095,75.7699966430664,11.361000061035156,7.03000020980835
583252.6103138466,1255894.4323540733,75.76300048828125,11.359999656677246,0.75
583034.493996949,1255893.8609363409,75.76100158691406,11.359999656677246,1.4199999570846558
582816.3777739117,1255893.2910179913,75.75900268554688,11.359999656677246,1.1399999856948853
583364.5716516636,1254788.976628369,75.76399993896484,11.350000381469728,2.140000104904175
583249.4177064112,1257110.9073265826,75.76300048828125,11.371000289916992,0.9700000286102296
583903.7421236075,1257112.6321567278,75.76899719238281,11.371000289916992,0.5699999928474426
592295.6617482617,1260674.6398806642,75.84600067138672,11.402999877929688,4.460000038146973
588705.1683832292,1257236.2257448386,75.81300354003906,11.371999740600586,2.4600000381469727
591865.2656990123,1258682.888009226,75.84200286865234,11.385000228881836,2.2300000190734863
589041.3277461763,1254030.2950791765,75.81600189208984,11.343000411987305,1.5
590244.3979737147,1253148.9702439914,75.8270034790039,11.335000038146973,0.1500000059604644
583908.4213565815,1255343.2311844425,75.76899719238281,11.354999542236328,1.1399999856948853
584231.7371267321,1257113.5018485342,75.77200317382812,11.371000289916992,1.8899999856948853
588929.1667036725,1255135.743817765,75.81500244140625,11.352999687194824,1.2899999618530271
589362.9248399291,1256021.678522614,75.81900024414062,11.361000061035156,0.0299999993294477
588276.7273252858,1254138.6857283795,75.80899810791016,11.343999862670898,0.6000000238418579
588926.3783445486,1256131.081307739,75.81500244140625,11.362000465393066,0.3000000119209289
590133.8694299504,1253369.8098340174,75.82599639892578,11.336999893188477,0.0299999993294477
585637.1070333559,1261982.9180922222,75.78500366210938,11.414999961853027,1.590000033378601
588378.404315858,1256793.0079148219,75.80999755859375,11.368000030517578,0.6600000262260437
589474.4775571018,1255137.275547796,75.81999969482422,11.352999687194824,0.1500000059604644
590240.6311103813,1254475.9836853468,75.8270034790039,11.347000122070312,0.3000000119209289
592198.2087413835,1256693.2528377883,75.84500122070312,11.366999626159668,1.7699999809265137
588158.7543949345,1257345.3305454873,75.80799865722656,11.373000144958496,1.4299999475479126
582603.1504308679,1254012.911741616,75.75700378417969,11.343000411987305,2.740000009536743
582930.3440291405,1254013.7637227846,75.76000213623047,11.343000411987305,2.289999961853028
584341.9680071475,1256671.388225993,75.77300262451172,11.366999626159668,0.9100000262260436
587182.7364576671,1255352.053033236,75.79900360107422,11.354999542236328,0.6000000238418579
590461.907508567,1253370.741237761,75.8290023803711,11.336999893188477,0.0599999986588954
590125.083244003,1256466.1406984117,75.82599639892578,11.364999771118164,0.0599999986588954
591635.4342129828,1262442.0638691837,75.83999633789062,11.418999671936035,5.03000020980835
589347.9460755636,1261329.7378908033,75.81900024414062,11.409000396728516,2.130000114440918
589894.7235718094,1260778.351232118,75.8239974975586,11.404000282287598,2.2699999809265137
586313.0221691683,1254022.769315246,75.79100036621094,11.343000411987305,1.190000057220459
593058.6437853081,1260787.5070973497,75.85299682617188,11.404000282287598,1.4900000095367432
591206.9431748516,1259786.8621783212,75.83599853515625,11.395000457763672,1.059999942779541
592737.6715272829,1258685.431015815,75.8499984741211,11.385000228881836,1.4299999475479126
590005.0259297355,1260336.2518106187,75.82499694824219,11.399999618530272,1.9700000286102293
588809.5730817396,1258895.3234721036,75.81400299072266,11.38700008392334,1.5700000524520874
590012.2578938786,1257792.8465029933,75.82499694824219,11.376999855041504,1.5700000524520874
590228.9920102638,1258567.5535869326,75.8270034790039,11.383999824523926,0.5400000214576721
582379.3131046554,1255892.1535184837,75.75499725341797,11.359999656677246,1.4900000095367432
583802.2782153368,1254237.2005717726,75.76799774169922,11.345000267028809,2.0
588276.1130226455,1254359.8361953816,75.80899810791016,11.345999717712402,1.1100000143051147
589044.114913105,1253034.9586128576,75.81600189208984,11.333999633789062,1.0499999523162842
589043.1861002652,1253366.737369058,75.81600189208984,11.336999893188477,0.9900000095367432
589358.2506013082,1257680.4716218654,75.81900024414062,11.37600040435791,0.5099999904632568
589368.214887519,1254141.736097252,75.81900024414062,11.343999862670898,0.0599999986588954
590568.77087288,1254145.1345716415,75.83000183105469,11.343999862670898,0.209999993443489
594269.4956576149,1257252.2834797017,75.86399841308594,11.371999740600586,1.559999942779541
586947.6923689225,1261212.4127551115,75.7969970703125,11.407999992370604,2.130000114440918
590213.5204207008,1263986.1545667131,75.8270034790039,11.43299961090088,1.850000023841858
591971.4244299907,1259678.4452469132,75.84300231933594,11.394000053405762,1.5399999618530271
582489.8079220605,1255339.5139194257,75.75599670410156,11.354999542236328,1.1699999570846558
588168.5822241855,1253806.6046847373,75.80799865722656,11.340999603271484,0.8999999761581421
588377.7879690223,1257014.158784531,75.80999755859375,11.369999885559082,0.8399999737739563
588712.8953799102,1254471.6815176401,75.81300354003906,11.347000122070312,1.3799999952316284
589040.0885009171,1254472.5967253754,75.81600189208984,11.347000122070312,1.1699999570846558
589142.6313834913,1256795.1468373225,75.81700134277344,11.368000030517578,0.8999999761581421
589248.2629527538,1258011.8386852618,75.81800079345703,11.378999710083008,0.8100000023841858
589805.727141185,1253700.6635263101,75.822998046875,11.34000015258789,0.3000000119209289
592854.4963610489,1256031.7029583976,75.85099792480469,11.361000061035156,1.8899999856948853
593725.1956696095,1256918.9892787049,75.85900115966797,11.369000434875488,0.9300000071525574
595357.8961100315,1258250.794952298,75.8740005493164,11.380999565124512,1.5099999904632568
595469.2813910624,1257477.0302303638,75.875,11.37399959564209,1.8600000143051147
587172.0925818998,1259222.5535834667,75.79900360107422,11.390000343322754,1.1299999952316284
592185.6502805958,1261006.1042520604,75.84500122070312,11.406000137329102,1.159999966621399
586969.5317523803,1253250.4760704308,75.7969970703125,11.336000442504885,0.3899999856948852
589808.8494028259,1252594.8028882712,75.822998046875,11.329999923706056,1.590000033378601
590795.4213867894,1251160.054340836,75.83200073242188,11.31700038909912,1.340000033378601
592630.237841195,1258132.1763658563,75.8489990234375,11.380000114440918,1.8600000143051147
589463.2434298387,1259118.3172932556,75.81999969482422,11.388999938964844,2.690000057220459
590665.8277958017,1258347.6472769247,75.83100128173828,11.381999969482422,1.909999966621399
591208.8557064565,1259123.2990791998,75.83599853515625,11.388999938964844,1.4600000381469729
589791.3301764202,1258787.4631620327,75.822998046875,11.38599967956543,0.7400000095367432
589788.8203378989,1259672.1759917082,75.822998046875,11.394000053405762,0.800000011920929
584342.8498807823,1256339.7174759696,75.77300262451172,11.36400032043457,2.059999942779541
585653.561083465,1255900.8214029998,75.78500366210938,11.359999656677246,1.0299999713897705
587509.3095550769,1255574.2088418433,75.802001953125,11.357000350952148,1.340000033378601
588169.8086701782,1253364.3040276982,75.80799865722656,11.336999893188477,1.2000000476837158
588707.9520249864,1256240.9935132505,75.81300354003906,11.36299991607666,0.0299999993294477
589145.4277457279,1255799.9139526542,75.81700134277344,11.359000205993652,1.2599999904632568
589360.4326112178,1256906.3890622011,75.81900024414062,11.369000434875488,0.0299999993294477
589470.4247169071,1256574.916800639,75.81999969482422,11.366000175476074,0.449999988079071
589470.7367508808,1256464.2884060985,75.81999969482422,11.364999771118164,0.0299999993294477
589913.2303503795,1254253.902507738,75.8239974975586,11.345000267028809,0.0299999993294477
590348.437898502,1254918.5966234466,75.8280029296875,11.35099983215332,0.0599999986588954
590242.8289007852,1253701.9011715364,75.8270034790039,11.34000015258789,0.1800000071525573
590461.2783944919,1253591.892627512,75.8290023803711,11.33899974822998,0.1500000059604644
590234.3444571549,1256687.6047908713,75.8270034790039,11.366999626159668,0.3000000119209289
592747.0520483375,1255478.4493175643,75.8499984741211,11.355999946594238,1.0700000524520874
592857.407352266,1255036.4625527228,75.85099792480469,11.35200023651123,1.3700000047683716
586838.955667087,1261101.4848162988,75.7959976196289,11.406999588012695,1.2599999904632568
591638.642611882,1261336.298474756,75.83999633789062,11.409000396728516,2.1600000858306885
590327.3010807555,1262327.7693274447,75.8280029296875,11.41800022125244,1.5800000429153442
589894.09460789,1260999.5033463791,75.8239974975586,11.406000137329102,1.2799999713897705
587080.4161052471,1252587.2198198165,75.7979965209961,11.329999923706056,1.830000042915344
590228.0465700687,1258899.3342915014,75.8270034790039,11.38700008392334,1.7100000381469729
591319.4994846032,1258570.6794637542,75.83699798583984,11.383999824523926,0.800000011920929
590776.7802274147,1257684.5031854236,75.83200073242188,11.37600040435791,2.799999952316284
590555.5115320983,1258789.6395365773,75.83000183105469,11.38599967956543,1.3700000047683716
590989.8040132086,1259454.4527490013,75.83399963378906,11.392000198364258,2.8299999237060547
581725.8195189507,1255558.79289125,75.7490005493164,11.357000350952148,1.1399999856948853
582271.1147845443,1255560.2013896063,75.75399780273438,11.357000350952148,2.3399999141693115
581945.0793196249,1255116.9541407619,75.7509994506836,11.352999687194824,1.8899999856948853
582273.6932470722,1254564.8777065014,75.75399780273438,11.347999572753906,1.830000042915344
582056.9956811212,1254011.497109941,75.75199890136719,11.343000411987305,1.9700000286102293
581946.5057618439,1254564.0321185994,75.7509994506836,11.347999572753906,1.1699999570846558
587516.009592997,1253141.3465017213,75.802001953125,11.335000038146973,1.659999966621399
587723.1492232606,1257122.969779701,75.80400085449219,11.371000289916992,0.8299999833106995
589030.7798152029,1257790.073732475,75.81600189208984,11.376999855041504,1.649999976158142
589366.9709790106,1254584.0380794976,75.81900024414062,11.347999572753906,0.0299999993294477
589694.4754232814,1254474.4372513653,75.8219985961914,11.347000122070312,0.0900000035762786
590241.5732701274,1254144.2038609777,75.8270034790039,11.343999862670898,0.0299999993294477
590459.075482049,1254365.9754525865,75.8290023803711,11.345999717712402,0.1500000059604644
590670.5730221856,1256688.848871917,75.83100128173828,11.366999626159668,0.1500000059604644
591108.0723105855,1256247.794759704,75.83499908447266,11.36299991607666,0.1500000059604644
593185.2465303454,1254816.2679711229,75.85399627685547,11.350000381469728,1.340000033378601
592964.8518736063,1255589.7164485657,75.85199737548828,11.357000350952148,2.549999952316284
592637.9901946721,1255478.1308970635,75.8489990234375,11.355999946594238,1.950000047683716
593292.5443182286,1255701.2025256366,75.8550033569336,11.357999801635742,1.6699999570846558
588710.1156076533,1255466.9126928896,75.81300354003906,11.355999946594238,1.559999942779541
593074.8860547324,1255258.2539263882,75.85299682617188,11.354000091552734,1.0700000524520874
593840.1385419162,1254928.7207277764,75.86000061035156,11.35099983215332,1.6200000047683716
