x_utm43n_m,y_utm43n_m,Longitude,Latitude,Ca
595141.782362951,1257586.6763310595,75.87200164794922,11.375,1000.0
587605.8339104537,1260108.361472817,75.8030014038086,11.39799976348877,195.5
588472.9292052793,1261990.7355312747,75.81099700927734,11.414999961853027,503.25
592399.530407439,1262444.2911148244,75.84700012207031,11.418999671936035,193.25
592182.100620531,1262222.5001642876,75.84500122070312,11.416999816894531,207.65
590982.8023092252,1261887.236846405,75.83399963378906,11.413999557495115,242.8
585879.7475663915,1252915.73586068,75.78700256347656,11.333000183105469,956.75
587518.4428681631,1252256.6414046458,75.802001953125,11.32699966430664,469.8
584680.923064341,1252248.9663456539,75.7760009765625,11.32699966430664,590.7
590578.2121577224,1250827.6539993351,75.83000183105469,11.314000129699709,511.0
590577.2690504933,1251159.4333987948,75.83000183105469,11.31700038909912,409.4
590576.3259961745,1251491.1074032558,75.83000183105469,11.31999969482422,490.55
590575.382395052,1251822.8869341987,75.83000183105469,11.322999954223633,317.7
590574.4385469472,1252154.6665309179,75.83000183105469,11.326000213623049,371.4
590682.5660604516,1252486.7567894529,75.83100128173828,11.32900047302246,432.35
585971.1369471962,1259440.4204524406,75.78800201416016,11.392000198364258,229.9
586190.7358308787,1258888.085545385,75.79000091552734,11.38700008392334,212.9
585972.6387715924,1258887.4925423397,75.78800201416016,11.38700008392334,254.75
585753.9427390824,1259108.050993628,75.78600311279297,11.388999938964844,349.45
585645.4933647314,1258886.6058555283,75.78500366210938,11.38700008392334,92.8
585646.6896702108,1258444.3061389974,75.78500366210938,11.383000373840332,160.5
585864.4899748458,1258555.4189284695,75.78700256347656,11.383999824523926,504.4
586191.6389560732,1258556.3076476716,75.79000091552734,11.383999824523926,481.55
586954.683653854,1258669.0224244087,75.7969970703125,11.385000228881836,343.75
587173.9196600452,1258558.9963796535,75.79900360107422,11.383999824523926,267.45
587064.9493441213,1258226.9156652105,75.7979965209961,11.380999565124512,151.25
586737.4934110411,1258336.6460358955,75.79499816894531,11.381999969482422,564.6
586410.3417791347,1258335.7518313597,75.79199981689453,11.381999969482422,426.2
586083.1903669297,1258334.8610067433,75.78900146484375,11.381999969482422,154.7
585537.4047983564,1258222.7539531663,75.78399658203125,11.380999565124512,249.55
585210.5501175388,1258111.3501556697,75.78099822998047,11.380000114440918,176.4
584665.5910532235,1257999.260839361,75.7760009765625,11.378999710083008,230.55
584666.1819850554,1257778.1115236063,75.7760009765625,11.376999855041504,160.75
585101.7962964548,1258000.4295250596,75.77999877929688,11.378999710083008,657.0
585866.2883795428,1257891.9692355301,75.78700256347656,11.378000259399414,542.8
585866.5881655187,1257781.3415824028,75.78700256347656,11.376999855041504,157.6
586411.2467974827,1258003.9738956834,75.79199981689453,11.378999710083008,551.25
586629.6523354885,1257894.0471345244,75.79399871826172,11.378000259399414,531.6
584345.2010738825,1255455.0163934436,75.77300262451172,11.355999946594238,502.9
587065.5571363956,1258005.765237368,75.7979965209961,11.378999710083008,226.0
586740.2177497778,1257341.4172180095,75.79499816894531,11.373000144958496,592.25
586412.754541942,1257451.0459700841,75.79199981689453,11.37399959564209,720.45
586194.6474847576,1257450.4521070744,75.79000091552734,11.37399959564209,627.25
585976.540524988,1257449.8597452468,75.78800201416016,11.37399959564209,527.55
585758.1343352094,1257559.8964910524,75.78600311279297,11.375,261.55
585649.0813209967,1257559.6015991054,75.78500366210938,11.375,283.35
585538.8972767539,1257669.9324002403,75.78399658203125,11.37600040435791,194.95
585212.3344615311,1257447.7960626194,75.78099822998047,11.37399959564209,285.05
584994.2279374375,1257447.2104618,75.77899932861328,11.37399959564209,261.55
584776.1215094002,1257446.6263621442,75.7770004272461,11.37399959564209,481.6
584557.7200408832,1257556.6711014332,75.7750015258789,11.375,486.85
584449.2564959237,1257335.2311809084,75.77400207519531,11.373000144958496,276.2
584230.8558579349,1257445.1726805726,75.77200317382812,11.37399959564209,190.5
584229.9740792814,1257776.9490385728,75.77200317382812,11.376999855041504,270.6
584011.0378121916,1257776.3678413378,75.7699966430664,11.376999855041504,597.8
583465.7787029716,1257774.926949259,75.76499938964844,11.376999855041504,349.25
583247.6752245675,1257774.3532200812,75.76300048828125,11.376999855041504,527.0
583466.6524796302,1257443.1510963172,75.76499938964844,11.37399959564209,556.05
584011.9172983281,1257444.5916285035,75.7699966430664,11.37399959564209,276.05
583467.234778408,1257222.0023843606,75.76499938964844,11.371999740600586,244.75
583467.8169760634,1257000.8537018425,75.76499938964844,11.369999885559082,195.75
584122.3896696143,1257223.734069733,75.77100372314453,11.371999740600586,252.0
584340.7913505461,1257113.7917618428,75.77300262451172,11.371000289916992,526.15
584995.4137511173,1257004.9117152542,75.77899932861328,11.369999885559082,327.1
585431.334904456,1257116.7115307024,75.78299713134766,11.371000289916992,261.55
585650.5752238301,1257006.674683274,75.78500366210938,11.369999885559082,206.25
586195.8500504313,1257008.1522808191,75.79000091552734,11.369999885559082,271.8
586631.4660758313,1257230.4912084038,75.79399871826172,11.371999740600586,315.1
585759.9290526424,1256896.4473427974,75.78600311279297,11.369000434875488,262.25
585651.172546371,1256785.5250604146,75.78500366210938,11.368000030517578,239.95
585431.930751511,1256895.5619915358,75.78299713134766,11.369000434875488,271.3
585104.7651509095,1256894.6822678815,75.77999877929688,11.369000434875488,148.65
584232.9122615358,1256671.0984092983,75.77200317382812,11.366999626159668,312.65
583904.9126814113,1256670.2290073182,75.76899719238281,11.366999626159668,519.2
583686.8014042656,1256669.6527552705,75.76699829101562,11.366999626159668,227.6
583468.399072596,1256779.7050487592,75.76499938964844,11.368000030517578,178.2
583141.233617036,1256778.8456624504,75.76200103759766,11.368000030517578,174.25
582923.7016233676,1256557.1262284287,75.76000213623047,11.366000175476074,176.8
582050.1373407246,1256665.3765321095,75.75199890136719,11.366999626159668,600.45
582159.765428735,1256444.510802641,75.75299835205078,11.364999771118164,289.45
582486.9336749228,1256445.3598404927,75.75599670410156,11.364999771118164,173.1
582814.9346208654,1256446.2144266376,75.75900268554688,11.364999771118164,210.75
583142.6828505372,1256225.9217867816,75.76200103759766,11.36299991607666,825.75
583469.5629622893,1256337.4078308747,75.76499938964844,11.36400032043457,256.15
583687.6764259248,1256337.9824390034,75.76699829101562,11.36400032043457,708.5
583905.497668292,1256449.0802065702,75.76899719238281,11.364999771118164,244.75
584125.0294652466,1256228.5112022902,75.77100372314453,11.36299991607666,202.5
584451.6125718715,1256450.529375466,75.77400207519531,11.364999771118164,311.55
584669.7257034238,1256451.1107872967,75.7760009765625,11.364999771118164,314.6
584015.7252923662,1256007.0712376095,75.7699966430664,11.361000061035156,812.25
583252.6103138466,1255894.4323540733,75.76300048828125,11.359999656677246,507.7
583034.493996949,1255893.8609363409,75.76100158691406,11.359999656677246,281.6
582816.3777739117,1255893.2910179913,75.75900268554688,11.359999656677246,518.5
583364.5716516636,1254788.976628369,75.76399993896484,11.350000381469728,241.25
583249.4177064112,1257110.9073265826,75.76300048828125,11.371000289916992,162.8
583903.7421236075,1257112.6321567278,75.76899719238281,11.371000289916992,122.8
592295.6617482617,1260674.6398806642,75.84600067138672,11.402999877929688,185.75
588705.1683832292,1257236.2257448386,75.81300354003906,11.371999740600586,246.65
591865.2656990123,1258682.888009226,75.84200286865234,11.385000228881836,101.45
589041.3277461763,1254030.2950791765,75.81600189208984,11.343000411987305,333.05
590244.3979737147,1253148.9702439914,75.8270034790039,11.335000038146973,317.6
583908.4213565815,1255343.2311844425,75.76899719238281,11.354999542236328,160.5
584231.7371267321,1257113.5018485342,75.77200317382812,11.371000289916992,177.25
588929.1667036725,1255135.743817765,75.81500244140625,11.352999687194824,478.7
589362.9248399291,1256021.678522614,75.81900024414062,11.361000061035156,293.25
588276.7273252858,1254138.6857283795,75.80899810791016,11.343999862670898,140.2
588926.3783445486,1256131.081307739,75.81500244140625,11.362000465393066,194.4
590133.8694299504,1253369.8098340174,75.82599639892578,11.336999893188477,417.95
585637.1070333559,1261982.9180922222,75.78500366210938,11.414999961853027,235.35
588378.404315858,1256793.0079148219,75.80999755859375,11.368000030517578,182.05
589474.4775571018,1255137.275547796,75.81999969482422,11.352999687194824,397.5
590240.6311103813,1254475.9836853468,75.8270034790039,11.347000122070312,477.2
592198.2087413835,1256693.2528377883,75.84500122070312,11.366999626159668,128.05
588158.7543949345,1257345.3305454873,75.80799865722656,11.373000144958496,210.55
582603.1504308679,1254012.911741616,75.75700378417969,11.343000411987305,171.4
582930.3440291405,1254013.7637227846,75.76000213623047,11.343000411987305,231.4
584341.9680071475,1256671.388225993,75.77300262451172,11.366999626159668,151.25
587182.7364576671,1255352.053033236,75.79900360107422,11.354999542236328,186.0
590461.907508567,1253370.741237761,75.8290023803711,11.336999893188477,353.0
590125.083244003,1256466.1406984117,75.82599639892578,11.364999771118164,381.45
591635.4342129828,1262442.0638691837,75.83999633789062,11.418999671936035,556.6
589347.9460755636,1261329.7378908033,75.81900024414062,11.409000396728516,243.05
589894.7235718094,1260778.351232118,75.8239974975586,11.404000282287598,498.15
586313.0221691683,1254022.769315246,75.79100036621094,11.343000411987305,160.7
593058.6437853081,1260787.5070973497,75.85299682617188,11.404000282287598,457.0
591206.9431748516,1259786.8621783212,75.83599853515625,11.395000457763672,229.15
592737.6715272829,1258685.431015815,75.8499984741211,11.385000228881836,240.25
590005.0259297355,1260336.2518106187,75.82499694824219,11.399999618530272,234.2
588809.5730817396,1258895.3234721036,75.81400299072266,11.38700008392334,178.8
590012.2578938786,1257792.8465029933,75.82499694824219,11.376999855041504,200.25
590228.9920102638,1258567.5535869326,75.8270034790039,11.383999824523926,193.25
582379.3131046554,1255892.1535184837,75.75499725341797,11.359999656677246,311.55
583802.2782153368,1254237.2005717726,75.76799774169922,11.345000267028809,170.8
588276.1130226455,1254359.8361953816,75.80899810791016,11.345999717712402,603.0
589044.114913105,1253034.9586128576,75.81600189208984,11.333999633789062,1000.0
589043.1861002652,1253366.737369058,75.81600189208984,11.336999893188477,415.25
589358.2506013082,1257680.4716218654,75.81900024414062,11.37600040435791,213.65
589368.214887519,1254141.736097252,75.81900024414062,11.343999862670898,561.45
590568.77087288,1254145.1345716415,75.83000183105469,11.343999862670898,415.15
594269.4956576149,1257252.2834797017,75.86399841308594,11.371999740600586,137.1
586947.6923689225,1261212.4127551115,75.7969970703125,11.407999992370604,420.75
590213.5204207008,1263986.1545667131,75.8270034790039,11.43299961090088,221.4
591971.4244299907,1259678.4452469132,75.84300231933594,11.394000053405762,242.7
582489.8079220605,1255339.5139194257,75.75599670410156,11.354999542236328,356.2
588168.5822241855,1253806.6046847373,75.80799865722656,11.340999603271484,431.95
588377.7879690223,1257014.158784531,75.80999755859375,11.369999885559082,366.0
588712.8953799102,1254471.6815176401,75.81300354003906,11.347000122070312,1000.0
589040.0885009171,1254472.5967253754,75.81600189208984,11.347000122070312,599.55
589142.6313834913,1256795.1468373225,75.81700134277344,11.368000030517578,489.7
589248.2629527538,1258011.8386852618,75.81800079345703,11.378999710083008,973.5
589805.727141185,1253700.6635263101,75.822998046875,11.34000015258789,539.85
592854.4963610489,1256031.7029583976,75.85099792480469,11.361000061035156,147.25
593725.1956696095,1256918.9892787049,75.85900115966797,11.369000434875488,281.6
595357.8961100315,1258250.794952298,75.8740005493164,11.380999565124512,180.3
595469.2813910624,1257477.0302303638,75.875,11.37399959564209,331.9
587172.0925818998,1259222.5535834667,75.79900360107422,11.390000343322754,209.9
592185.6502805958,1261006.1042520604,75.84500122070312,11.406000137329102,553.65
586969.5317523803,1253250.4760704308,75.7969970703125,11.336000442504885,301.7
589808.8494028259,1252594.8028882712,75.822998046875,11.329999923706056,343.7
590795.4213867894,1251160.054340836,75.83200073242188,11.31700038909912,250.5
592630.237841195,1258132.1763658563,75.8489990234375,11.380000114440918,245.55
589463.2434298387,1259118.3172932556,75.81999969482422,11.388999938964844,300.25
590665.8277958017,1258347.6472769247,75.83100128173828,11.381999969482422,226.35
591208.8557064565,1259123.2990791998,75.83599853515625,11.388999938964844,306.4
589791.3301764202,1258787.4631620327,75.822998046875,11.38599967956543,300.25
589788.8203378989,1259672.1759917082,75.822998046875,11.394000053405762,234.15
584342.8498807823,1256339.7174759696,75.77300262451172,11.36400032043457,195.9
585653.561083465,1255900.8214029998,75.78500366210938,11.359999656677246,122.45
587509.3095550769,1255574.2088418433,75.802001953125,11.357000350952148,178.2
588169.8086701782,1253364.3040276982,75.80799865722656,11.336999893188477,538.2
588707.9520249864,1256240.9935132505,75.81300354003906,11.36299991607666,1000.0
589145.4277457279,1255799.9139526542,75.81700134277344,11.359000205993652,385.15
589360.4326112178,1256906.3890622011,75.81900024414062,11.369000434875488,445.65
589470.4247169071,1256574.916800639,75.81999969482422,11.366000175476074,462.4
589470.7367508808,1256464.2884060985,75.81999969482422,11.364999771118164,505.5
589913.2303503795,1254253.902507738,75.8239974975586,11.345000267028809,1000.0
590348.437898502,1254918.5966234466,75.8280029296875,11.35099983215332,449.95
590242.8289007852,1253701.9011715364,75.8270034790039,11.34000015258789,958.75
590461.2783944919,1253591.892627512,75.8290023803711,11.33899974822998,486.95
590234.3444571549,1256687.6047908713,75.8270034790039,11.366999626159668,530.95
592747.0520483375,1255478.4493175643,75.8499984741211,11.355999946594238,315.6
592857.407352266,1255036.4625527228,75.85099792480469,11.35200023651123,274.05
586838.955667087,1261101.4848162988,75.7959976196289,11.406999588012695,134.35
591638.642611882,1261336.298474756,75.83999633789062,11.409000396728516,110.2
590327.3010807555,1262327.7693274447,75.8280029296875,11.41800022125244,316.2
589894.09460789,1260999.5033463791,75.8239974975586,11.406000137329102,291.3
587080.4161052471,1252587.2198198165,75.7979965209961,11.329999923706056,265.7
590228.0465700687,1258899.3342915014,75.8270034790039,11.38700008392334,311.55
591319.4994846032,1258570.6794637542,75.83699798583984,11.383999824523926,350.6
590776.7802274147,1257684.5031854236,75.83200073242188,11.37600040435791,177.4
590555.5115320983,1258789.6395365773,75.83000183105469,11.38599967956543,231.4
590989.8040132086,1259454.4527490013,75.83399963378906,11.392000198364258,342.7
581725.8195189507,1255558.79289125,75.7490005493164,11.357000350952148,201.4
582271.1147845443,1255560.2013896063,75.75399780273438,11.357000350952148,181.4
581945.0793196249,1255116.9541407619,75.7509994506836,11.352999687194824,303.6
582273.6932470722,1254564.8777065014,75.75399780273438,11.347999572753906,181.4
582056.9956811212,1254011.497109941,75.75199890136719,11.343000411987305,281.55
581946.5057618439,1254564.0321185994,75.7509994506836,11.347999572753906,191.05
587516.009592997,1253141.3465017213,75.802001953125,11.335000038146973,126.7
587723.1492232606,1257122.969779701,75.80400085449219,11.371000289916992,185.7
589030.7798152029,1257790.073732475,75.81600189208984,11.376999855041504,985.5
589366.9709790106,1254584.0380794976,75.81900024414062,11.347999572753906,984.0
589694.4754232814,1254474.4372513653,75.8219985961914,11.347000122070312,541.85
590241.5732701274,1254144.2038609777,75.8270034790039,11.343999862670898,963.5
590459.075482049,1254365.9754525865,75.8290023803711,11.345999717712402,1000.0
590670.5730221856,1256688.848871917,75.83100128173828,11.366999626159668,361.2
591108.0723105855,1256247.794759704,75.83499908447266,11.36299991607666,515.95
593185.2465303454,1254816.2679711229,75.85399627685547,11.350000381469728,242.7
592964.8518736063,1255589.7164485657,75.85199737548828,11.357000350952148,243.95
592637.9901946721,1255478.1308970635,75.8489990234375,11.355999946594238,443.15
593292.5443182286,1255701.2025256366,75.8550033569336,11.357999801635742,283.7
588710.1156076533,1255466.9126928896,75.81300354003906,11.355999946594238,371.4
593074.8860547324,1255258.2539263882,75.85299682617188,11.354000091552734,306.4
593840.1385419162,1254928.7207277764,75.86000061035156,11.35099983215332,247.7
594055.9736348331,1255703.4554749627,75.86199951171875,11.357999801635742,222.3
594268.8379772364,1257473.4372353475,75.86399841308594,11.37399959564209,133.85
593721.2717377697,1258245.9103727525,75.85900115966797,11.380999565124512,251.2
590991.3935318313,1258901.519006333,75.83399963378906,11.38700008392334,416.05
595031.7321701797,1257918.1331538411,75.87100219726562,11.378000259399414,392.05
586078.3783951967,1260104.167496176,75.78900146484375,11.39799976348877,199.15
590328.2502090537,1261995.9878611374,75.8280029296875,11.414999961853027,232.7
590110.6021149872,1261553.0577944752,75.82599639892578,11.41100025177002,469.95
586644.134651156,1252586.0289685226,75.79399871826172,11.329999923706056,122.25
588482.8292466878,1258452.1028255427,75.81099700927734,11.383000373840332,462.05
592734.755612226,1259680.673359172,75.8499984741211,11.394000053405762,371.05
592410.1965817247,1258794.998354745,75.84700012207031,11.38599967956543,399.2
589240.7788201361,1260665.8688128768,75.81800079345703,11.402999877929688,236.4
589242.651164408,1260002.4136143134,75.81800079345703,11.397000312805176,323.7
590116.905434347,1259341.3252868156,75.82599639892578,11.390999794006348,426.25
590443.6171991602,1259784.6707463646,75.8290023803711,11.395000457763672,348.9
590992.6645293543,1258459.2143289295,75.83399963378906,11.383000373840332,231.4
581943.9375556834,1255559.3551663489,75.7509994506836,11.357000350952148,241.55
583580.6583152852,1255563.622202032,75.76599884033203,11.357000350952148,250.4
583145.2897735955,1255230.7014577438,75.76200103759766,11.354000091552734,141.75
581617.6134077386,1255226.7381113062,75.74800109863281,11.354000091552734,356.2
583249.9983319767,1256889.758754302,75.76300048828125,11.369000434875488,347.9
587509.9194174544,1255352.9531058164,75.802001953125,11.354999542236328,252.35
587942.179394162,1256791.7952631202,75.80599975585938,11.368000030517578,228.2
588597.4436749392,1256461.8373594428,75.81199645996094,11.364999771118164,1000.0
588607.0051461571,1253033.7380895612,75.81199645996094,11.333999633789062,997.75
589475.1005958301,1254916.124417505,75.81999969482422,11.35099983215332,547.65
589371.012246323,1253146.5043352556,75.81900024414062,11.335000038146973,571.85
593284.0843662212,1258576.4056051867,75.8550033569336,11.383999824523926,271.55
592636.6993608663,1255920.4363616572,75.8489990234375,11.359999656677246,481.05
592747.3752206214,1255367.82021241,75.8499984741211,11.354999542236328,207.25
593619.0758322555,1255923.3190540513,75.85800170898438,11.359999656677246,234.15
593730.0953027208,1255260.1812013946,75.85900115966797,11.354000091552734,311.55
593838.8315435788,1255371.0272223852,75.86000061035156,11.354999542236328,335.55
593718.9807336659,1259020.0008959987,75.85900115966797,11.387999534606934,498.4
593824.7514966556,1260126.1985556218,75.86000061035156,11.39799976348877,321.05
594048.4296391725,1258246.8800275812,75.86199951171875,11.380999565124512,531.25
586402.7915654929,1261100.2893112807,75.79199981689453,11.406999588012695,282.7
586320.8207616592,1251147.6168951625,75.79100036621094,11.31700038909912,433.85
591422.4792561113,1260672.1026991024,75.83799743652344,11.402999877929688,273.9
591193.848906541,1264320.7601104653,75.83599853515625,11.435999870300291,411.7
591203.4346888992,1261003.254598733,75.83599853515625,11.406000137329102,422.9
590543.4732027393,1262991.8519914213,75.83000183105469,11.423999786376951,230.75
584458.964300023,1253686.0106373334,75.77400207519531,11.34000015258789,231.75
585553.7889927587,1252140.7778331495,75.78399658203125,11.326000213623049,275.9
592522.7996717981,1257578.9225401662,75.8479995727539,11.375,296.1
587829.1396475291,1258229.0253058898,75.80500030517578,11.380999565124512,256.4
587826.685777337,1259113.7341763151,75.80500030517578,11.388999938964844,260.6
589571.9789131829,1259229.2542831416,75.82099914550781,11.390000343322754,300.9
591648.8917507344,1257797.5377679423,75.83999633789062,11.376999855041504,400.4
589025.1827153864,1259780.6474776259,75.81600189208984,11.395000457763672,401.45
592732.4860708115,1260454.7628664873,75.8499984741211,11.401000022888184,407.15
590120.3674253182,1258124.9369378458,75.82599639892578,11.380000114440918,206.25
592513.4257748558,1260785.9067407807,75.8479995727539,11.404000282287598,341.05
589904.4593327872,1257350.233569244,75.8239974975586,11.373000144958496,326.15
588477.8826566217,1260221.4182362442,75.81099700927734,11.39900016784668,427.4
590988.8499105925,1259786.2341750497,75.83399963378906,11.395000457763672,431.05
592953.1754740737,1259570.6839091382,75.85199737548828,11.392999649047852,342.3
589356.0672650199,1258454.554541373,75.81900024414062,11.383000373840332,406.25
581943.0813123665,1255891.0241888561,75.7509994506836,11.359999656677246,176.4
582381.3217508872,1255118.0828111626,75.75499725341797,11.352999687194824,197.05
582819.2619234298,1254787.5502115826,75.75900268554688,11.350000381469728,146.75
587835.878498916,1255796.2628933867,75.80500030517578,11.359000205993652,228.4
587733.8417272703,1253252.5751870982,75.80400085449219,11.336000442504885,283.25
588272.4246676207,1255686.8450736182,75.80899810791016,11.357999801635742,578.7
588706.0963089772,1256904.5519086875,75.81300354003906,11.369000434875488,896.0
588923.5880988344,1257126.313931358,75.81500244140625,11.371000289916992,1000.0
589469.1769049122,1257017.219530548,75.81999969482422,11.369999885559082,554.75
590893.754202874,1254920.1524606347,75.83300018310547,11.35099983215332,938.25
590889.0041663523,1256578.9498860308,75.83300018310547,11.366000175476074,547.85
590889.3211490619,1256468.3211552456,75.83300018310547,11.364999771118164,1000.0
592748.6670126566,1254925.5147879603,75.8499984741211,11.35099983215332,206.4
592855.4670474399,1255699.9209367835,75.85099792480469,11.357999801635742,221.4
593292.8691406751,1255590.6787339319,75.8550033569336,11.357000350952148,351.2
593620.7065750533,1255370.3833089222,75.85800170898438,11.354999542236328,397.4
594707.0415874238,1256811.275783794,75.86799621582031,11.368000030517578,223.25
593943.9654700584,1256698.375712046,75.86100006103516,11.366999626159668,304.4
586947.0838104829,1261433.5635601438,75.7969970703125,11.40999984741211,91.65
